original_index,msu,suda,fK,fM,AgeCog_W1,Height_W1,HandednessScore,EduYrsEstCap,EduComp,Ethnicity,Race,Sex,dis-suda
153,2.0,4264,1.0,119,81,63.0,4.0,13.5,3.0,0.0,5,f,0.0016545656672670736
154,2.0,15164,1.0,194,88,69.0,3.636,13.0,3.0,0.0,7,m,0.0058841073589207095
155,2.0,4950,1.0,104,86,63.0,3.909,16.0,4.0,0.0,5,f,0.001920755171897752
156,2.0,7950,1.0,151,84,74.0,3.727,18.0,5.0,0.0,5,m,0.0030848492154721473
157,2.0,3000,1.0,101,88,65.0,4.0,12.0,3.0,0.0,5,f,0.001164094043574395
158,2.0,10266,1.0,167,35,64.0,3.091,17.0,5.0,0.0,5,f,0.00398352981711158
159,2.0,3580,1.0,88,81,74.0,3.273,16.0,4.0,0.0,5,m,0.0013891522253321115
160,2.0,3628,1.0,123,54,66.0,3.091,18.0,6.0,0.0,5,f,0.0014077777300293018
161,2.0,4226,1.0,115,51,71.0,4.0,16.0,4.0,0.0,2,m,0.0016398204760484645
162,2.0,4950,1.0,104,80,62.0,4.0,16.0,4.0,0.0,5,f,0.001920755171897752
163,2.0,6270,1.0,147,33,70.0,3.818,18.0,6.0,0.0,1,m,0.0024329565510704857
164,2.0,1950,1.0,57,52,74.0,3.909,16.0,4.0,0.0,5,m,0.0007566611283233568
165,2.0,3280,1.0,115,72,64.0,3.909,18.0,6.0,0.0,5,f,0.001272742820974672
166,2.0,7950,1.0,151,75,61.0,4.0,12.0,2.0,0.0,5,f,0.0030848492154721473
167,3.0,1438,1.0,76,86,63.0,4.0,14.0,3.0,0.0,5,f,0.0005579890782199934
168,3.0,580,1.0,41,71,64.0,4.0,16.0,4.0,0.0,5,f,0.0002250581817577164
169,3.0,1052,1.0,64,57,62.0,4.0,18.0,6.0,0.0,5,f,0.0004082089779467546
170,2.0,9692,1.0,176,75,65.5,3.818,12.0,3.0,0.0,2,f,0.0037607998234410124
171,2.0,4582,1.0,125,34,64.0,4.0,21.0,7.0,0.0,5,f,0.0017779596358859595
172,2.0,11780,1.0,185,32,60.5,3.0,17.0,5.0,0.0,1,f,0.0045710092777687915
173,2.0,6034,1.0,138,44,66.0,3.818,16.0,4.0,1.0,5,f,0.0023413811529759665
174,2.0,3720,1.0,130,65,65.0,3.909,17.0,5.0,0.0,5,f,0.00144347661403225
175,2.0,5596,1.0,131,43,70.0,3.273,14.0,3.0,0.0,5,m,0.002171423422614105
176,2.0,9562,1.0,149,42,69.0,3.182,16.0,4.0,0.0,5,m,0.0037103557482194554
