,AgeCog_W1,Sex,Race,Ethnicity,EduYrsEstCap,EduComp,HandednessScore,Height_W1
369,67,f,5,0.0,14.0,3.0,3.545,64.0
370,61,f,5,1.0,16.0,5.0,3.636,62.0
371,60,f,5,0.0,16.0,4.0,3.182,70.0
372,69,m,5,0.0,21.0,7.0,3.727,72.0
373,64,m,5,0.0,18.0,6.0,4.0,72.0
374,67,m,5,0.0,21.0,7.0,4.0,67.0
375,61,f,5,0.0,16.0,4.0,4.0,63.0
376,75,m,5,0.0,18.0,6.0,3.636,72.0
377,29,f,2,0.0,18.0,6.0,3.545,66.0
378,54,f,5,0.0,17.0,5.0,4.0,65.0
379,24,m,6,0.0,16.5,5.0,3.364,71.0
380,37,m,2,0.0,12.0,2.0,4.0,73.0
381,49,f,2,0.0,18.0,6.0,4.0,65.0
382,51,f,5,0.0,16.0,4.0,3.545,66.0
383,60,f,5,0.0,18.0,6.0,3.909,63.0
384,80,m,5,0.0,18.0,6.0,3.909,67.0
385,75,m,5,0.0,16.0,4.0,3.636,69.0
386,71,m,5,0.0,21.0,7.0,3.545,70.0
387,65,m,5,0.0,17.0,5.0,3.545,76.0
388,55,f,2,0.0,18.0,6.0,-999.0,66.0
389,54,f,5,0.0,16.0,4.0,3.818,63.75
390,21,f,5,0.0,14.5,3.0,3.545,70.0
391,21,m,1,0.0,12.0,2.0,4.0,72.0
392,21,m,1,0.0,15.0,3.0,3.455,71.0
393,23,m,1,0.0,15.0,3.0,3.182,71.0
394,59,f,5,0.0,16.0,4.0,4.0,64.0
395,25,m,1,0.0,15.0,3.0,3.0,69.0
396,66,f,5,0.0,18.0,6.0,2.727,67.0
397,65,m,6,0.0,18.0,6.0,2.091,69.0
398,81,f,5,0.0,15.0,3.0,3.545,65.0
399,65,m,5,0.0,16.0,5.0,3.545,72.0
400,73,f,4,0.0,12.0,3.0,4.0,64.0
401,67,m,5,0.0,21.0,7.0,4.0,71.0
402,68,f,5,0.0,16.0,4.0,4.0,67.0
403,63,f,5,1.0,18.0,6.0,4.0,63.0
404,33,f,2,0.0,18.0,6.0,4.0,62.0
405,43,f,5,0.0,15.0,3.0,3.182,66.0
406,83,f,5,0.0,12.0,3.0,4.0,62.0
407,61,f,5,0.0,18.0,6.0,3.636,-999.0
408,81,m,5,0.0,16.0,4.0,3.364,66.0
409,74,m,5,0.0,16.0,4.0,3.909,74.0
410,71,m,5,0.0,17.0,5.0,3.273,70.5
411,47,f,5,0.0,18.0,6.0,3.909,60.0
412,51,f,5,0.0,16.0,4.0,4.0,72.0
413,63,f,5,0.0,18.0,6.0,3.636,67.0
414,41,m,5,0.0,12.0,3.0,3.545,73.0
415,51,f,5,0.0,18.0,6.0,4.0,65.0
416,40,f,5,0.0,16.0,4.0,3.636,65.0
417,57,f,5,0.0,16.0,4.0,4.0,65.0
418,40,f,5,0.0,16.0,4.0,3.909,64.0
419,45,f,4,0.0,21.0,7.0,4.0,66.0
420,49,f,5,0.0,12.0,2.0,3.545,64.0
421,83,m,5,0.0,18.0,6.0,4.0,69.0
422,77,f,5,0.0,14.0,3.0,4.0,64.5
423,50,m,5,0.0,16.0,4.0,3.818,75.0
424,60,f,5,0.0,14.0,3.0,3.364,67.0
425,52,m,5,0.0,18.0,6.0,4.0,69.0
426,71,f,5,0.0,14.0,3.0,3.636,64.0
427,37,f,5,0.0,16.0,4.0,3.364,66.0
428,54,f,5,0.0,18.0,6.0,3.818,65.0
429,49,f,5,0.0,21.0,7.0,3.818,64.0
430,74,m,5,0.0,16.0,4.0,3.364,69.0
431,33,m,5,0.0,21.0,7.0,3.636,70.0
432,81,f,5,0.0,16.0,4.0,4.0,64.0
433,81,f,5,0.0,12.0,2.0,3.364,63.0
434,84,m,5,0.0,16.0,4.0,2.727,66.0
435,60,f,5,0.0,18.0,6.0,3.182,62.0
436,71,f,5,0.0,18.0,6.0,4.0,64.0
437,46,f,5,0.0,14.0,3.0,3.545,65.0
438,25,f,5,0.0,16.0,4.0,4.0,68.0
439,50,f,5,0.0,16.0,4.0,3.818,64.0
440,41,f,5,0.0,16.0,4.0,3.818,62.0
441,71,m,5,0.0,15.0,3.0,3.909,70.0
442,26,m,5,0.0,18.0,6.0,3.364,72.0
443,50,f,5,0.0,16.0,4.0,3.727,61.0
444,53,m,5,0.0,16.0,4.0,3.727,71.0
445,38,f,5,0.0,16.0,4.0,4.0,60.0
446,29,f,5,0.0,13.0,3.0,3.455,62.0
447,55,f,5,0.0,13.0,3.0,4.0,66.0
448,86,m,5,0.0,17.0,5.0,4.0,73.0
449,57,f,5,0.0,14.0,3.0,3.0,64.0
450,51,f,5,0.0,18.0,6.0,3.636,68.0
451,46,m,5,0.0,14.0,3.0,3.636,68.0
452,48,m,5,0.0,15.0,3.0,3.545,70.0
453,84,f,4,0.0,15.0,3.0,4.0,70.0
454,21,m,5,0.0,14.0,3.0,3.455,75.0
455,53,f,5,0.0,21.0,7.0,3.727,67.0
456,48,m,5,0.0,18.0,6.0,4.0,72.0
457,29,f,3,1.0,11.0,1.0,3.182,61.0
458,48,f,5,0.0,14.0,3.0,3.909,64.0
459,53,m,5,0.0,18.0,6.0,3.727,69.0
460,54,m,5,0.0,21.0,7.0,3.818,66.0
461,23,f,5,0.0,17.0,5.0,3.273,63.0
462,26,m,5,0.0,16.0,4.0,3.636,77.0
463,25,f,5,0.0,21.0,7.0,3.545,66.0
